Payment_type,Credit_type,Invoice_amount,Customer_visit,Customer_Saisfaction
Cash,Offerings,169842,3,8
Cash,NPL,132893,10,6
GPay,NPL,93251,4,9
GPay,Offerings,174595,10,7
GPay,Offerings,123115,10,9
Cash,Offerings,59389,8,6
GPay,Contract,178738,6,9
Cash,Offerings,61364,7,8
GPay,Offerings,71497,10,6
GPay,Offerings,190189,7,7
Cash,Offerings,127318,7,6
COD,Contract,164351,3,8
GPay,Offerings,57611,6,6
GPay,NPL,187501,6,9
GPay,Contract,110717,4,6
GPay,NPL,74275,6,7
GPay,NPL,120852,6,6
COD,Offerings,123937,6,6
GPay,Contract,168948,4,9
Cash,NPL,140604,7,9
Cash,Contract,69851,4,9
COD,Contract,158069,9,6
COD,Offerings,107148,6,7
GPay,Contract,176099,5,7
COD,Contract,162464,8,6
COD,Offerings,54928,7,7
COD,Offerings,163285,3,6
COD,NPL,156884,6,9
GPay,Offerings,104200,3,9
GPay,Offerings,101464,9,9
Cash,Contract,50567,8,8
GPay,Contract,157231,4,6
GPay,Contract,86338,6,9
Cash,Contract,150925,10,7
COD,Offerings,109262,7,9
GPay,Offerings,107837,4,6
GPay,Contract,185704,7,8
GPay,NPL,110109,6,8
Cash,NPL,176051,10,6
COD,NPL,124073,8,7
Cash,Offerings,116696,4,8
Cash,Offerings,150638,7,6
GPay,Contract,190428,10,8
Cash,Offerings,159278,8,7
COD,Contract,90037,10,7
Cash,Contract,77443,4,9
COD,Contract,83925,5,8
COD,Contract,167491,7,7
Cash,Contract,68245,5,8
GPay,Contract,50770,3,7
Cash,NPL,112453,6,7
Cash,Contract,185883,6,8
GPay,Contract,91289,9,6
GPay,NPL,63903,3,6
GPay,Offerings,192525,7,8
COD,Contract,136395,4,8
GPay,Contract,109615,5,7
GPay,NPL,121686,5,7
COD,NPL,104922,6,8
Cash,Contract,61127,7,7
Cash,Contract,199150,4,6
COD,Contract,163582,3,7
GPay,NPL,164321,10,6
COD,Offerings,151579,7,8
COD,Contract,51055,9,9
Cash,Contract,161247,7,9
GPay,Contract,133910,10,6
GPay,Offerings,187798,5,6
Cash,Contract,162300,6,9
GPay,Contract,167988,9,7
GPay,Contract,145463,6,9
COD,Contract,112260,7,7
Cash,NPL,111947,8,6
COD,Contract,159557,3,6
Cash,Offerings,142839,8,8
Cash,Contract,189958,5,7
Cash,Offerings,139075,8,7
Cash,Contract,138605,3,9
Cash,Contract,56144,10,6
COD,NPL,178369,4,7
COD,Offerings,145396,3,6
COD,NPL,50901,10,6
COD,NPL,129872,3,9
Cash,Contract,130732,4,8
GPay,Contract,155296,5,7
GPay,Offerings,86805,8,9
COD,Contract,113647,7,6
Cash,Contract,96974,10,6
GPay,NPL,106574,8,7
GPay,Contract,78340,9,8
GPay,Offerings,143969,10,6
Cash,Contract,59060,6,7
Cash,Contract,174626,10,7
COD,Contract,127173,7,6
COD,Contract,99310,5,9
COD,NPL,87723,9,7
GPay,Contract,164718,3,9
COD,Offerings,191604,7,9
Cash,NPL,127041,9,9
Cash,Contract,67543,9,6
Cash,Contract,126940,9,8
COD,Contract,199983,6,7
Cash,Contract,194586,10,7
GPay,NPL,107457,8,6
Cash,Contract,134364,6,8
GPay,Contract,169619,3,8
COD,Contract,144331,5,7
Cash,NPL,59168,9,6
COD,Offerings,98974,10,7
Cash,NPL,59695,6,9
Cash,Offerings,168687,8,6
COD,NPL,142895,5,6
COD,Offerings,167598,5,6
Cash,Offerings,184899,4,6
GPay,Contract,62919,6,7
Cash,NPL,108267,7,6
Cash,NPL,128162,9,6
Cash,NPL,79681,4,8
GPay,NPL,79147,6,6
COD,NPL,78669,9,7
Cash,Contract,125533,7,6
GPay,Offerings,88729,5,8
