Class_of_Outlet,Type_of_Outlet,Outlet_ID
M,HA,CD00000
VL,DE,CD00001
H,DE,CD00002
L,DE,CD00003
L,HA,CD00004
M,HA,CD00005
M,DE,CD00006
L,HA,CD00007
SH,HA,CD00008
M,DE,CD00009
H,HA,CD00010
VL,DE,CD00011
M,DE,CD00012
L,DE,CD00013
L,RE,CD00014
SH,HA,CD00015
SH,RE,CD00016
H,DE,CD00017
L,HA,CD00018
VL,RE,CD00019
M,HA,CD00020
SH,DE,CD00021
VL,HA,CD00022
M,HA,CD00023
H,HA,CD00024
L,DE,CD00025
SH,DE,CD00026
SH,DE,CD00027
L,RE,CD00028
SH,RE,CD00029
H,DE,CD00030
M,RE,CD00031
SH,HA,CD00032
H,DE,CD00033
M,DE,CD00034
SH,DE,CD00035
SH,DE,CD00036
H,RE,CD00037
M,HA,CD00038
H,DE,CD00039
H,DE,CD00040
M,HA,CD00041
VL,HA,CD00042
L,RE,CD00043
L,HA,CD00044
VL,RE,CD00045
H,RE,CD00046
L,RE,CD00047
L,DE,CD00048
L,DE,CD00049
H,RE,CD00050
L,DE,CD00051
M,DE,CD00052
VL,HA,CD00053
L,RE,CD00054
SH,RE,CD00055
L,HA,CD00056
M,DE,CD00057
L,RE,CD00058
SH,DE,CD00059
M,DE,CD00060
L,HA,CD00061
L,DE,CD00062
M,RE,CD00063
H,HA,CD00064
L,DE,CD00065
H,RE,CD00066
VL,DE,CD00067
M,RE,CD00068
VL,RE,CD00069
SH,RE,CD00070
SH,DE,CD00071
L,DE,CD00072
L,RE,CD00073
M,DE,CD00074
H,HA,CD00075
VL,RE,CD00076
M,DE,CD00077
M,RE,CD00078
M,DE,CD00079
H,RE,CD00080
L,HA,CD00081
L,RE,CD00082
VL,RE,CD00083
L,HA,CD00084
VL,DE,CD00085
SH,DE,CD00086
L,HA,CD00087
L,HA,CD00088
H,RE,CD00089
VL,HA,CD00090
SH,HA,CD00091
SH,HA,CD00092
M,HA,CD00093
SH,RE,CD00094
L,RE,CD00095
M,RE,CD00096
M,HA,CD00097
M,DE,CD00098
M,DE,CD00099
SH,DE,CD00100
SH,HA,CD00101
L,HA,CD00102
VL,RE,CD00103
SH,HA,CD00104
VL,HA,CD00105
VL,HA,CD00106
SH,DE,CD00107
VL,RE,CD00108
M,RE,CD00109
H,DE,CD00110
L,RE,CD00111
H,RE,CD00112
SH,DE,CD00113
SH,RE,CD00114
VL,HA,CD00115
M,HA,CD00116
VL,HA,CD00117
M,RE,CD00118
VL,HA,CD00119
H,RE,CD00120
VL,RE,CD00121
VL,RE,CD00122
L,RE,CD00123
VL,RE,CD00124
VL,DE,CD00125
H,DE,CD00126
L,RE,CD00127
SH,RE,CD00128
VL,DE,CD00129
SH,RE,CD00130
SH,RE,CD00131
SH,RE,CD00132
L,DE,CD00133
H,HA,CD00134
H,RE,CD00135
VL,DE,CD00136
VL,DE,CD00137
H,HA,CD00138
L,RE,CD00139
H,HA,CD00140
SH,RE,CD00141
H,HA,CD00142
L,DE,CD00143
VL,HA,CD00144
H,DE,CD00145
VL,HA,CD00146
SH,DE,CD00147
SH,DE,CD00148
VL,DE,CD00149
SH,RE,CD00150
VL,HA,CD00151
VL,HA,CD00152
VL,RE,CD00153
L,RE,CD00154
VL,RE,CD00155
SH,HA,CD00156
VL,HA,CD00157
H,RE,CD00158
H,HA,CD00159
H,DE,CD00160
M,DE,CD00161
SH,HA,CD00162
L,DE,CD00163
L,HA,CD00164
SH,RE,CD00165
M,DE,CD00166
VL,HA,CD00167
L,RE,CD00168
H,RE,CD00169
H,DE,CD00170
M,RE,CD00171
M,RE,CD00172
H,DE,CD00173
SH,HA,CD00174
SH,RE,CD00175
M,RE,CD00176
SH,DE,CD00177
H,DE,CD00178
H,RE,CD00179
M,RE,CD00180
SH,DE,CD00181
VL,HA,CD00182
VL,RE,CD00183
VL,HA,CD00184
VL,DE,CD00185
H,RE,CD00186
M,HA,CD00187
SH,HA,CD00188
L,HA,CD00189
VL,HA,CD00190
VL,RE,CD00191
SH,HA,CD00192
H,HA,CD00193
M,RE,CD00194
M,HA,CD00195
VL,HA,CD00196
VL,RE,CD00197
H,DE,CD00198
VL,DE,CD00199
SH,HA,CD00200
SH,DE,CD00201
H,RE,CD00202
M,HA,CD00203
L,DE,CD00204
SH,HA,CD00205
SH,RE,CD00206
H,DE,CD00207
VL,DE,CD00208
H,RE,CD00209
SH,DE,CD00210
M,HA,CD00211
SH,HA,CD00212
H,DE,CD00213
L,RE,CD00214
VL,DE,CD00215
VL,RE,CD00216
L,HA,CD00217
L,DE,CD00218
VL,HA,CD00219
M,RE,CD00220
SH,HA,CD00221
M,RE,CD00222
M,HA,CD00223
H,DE,CD00224
H,DE,CD00225
H,HA,CD00226
M,DE,CD00227
VL,RE,CD00228
M,RE,CD00229
VL,RE,CD00230
L,DE,CD00231
SH,RE,CD00232
H,HA,CD00233
SH,RE,CD00234
VL,HA,CD00235
L,RE,CD00236
VL,HA,CD00237
M,RE,CD00238
SH,HA,CD00239
L,DE,CD00240
L,HA,CD00241
H,DE,CD00242
H,HA,CD00243
VL,RE,CD00244
M,HA,CD00245
SH,HA,CD00246
SH,RE,CD00247
SH,DE,CD00248
M,RE,CD00249
SH,HA,CD00250
L,DE,CD00251
L,DE,CD00252
H,DE,CD00253
L,HA,CD00254
VL,DE,CD00255
VL,HA,CD00256
L,RE,CD00257
M,RE,CD00258
M,RE,CD00259
H,HA,CD00260
SH,HA,CD00261
VL,RE,CD00262
VL,DE,CD00263
M,HA,CD00264
L,RE,CD00265
M,RE,CD00266
H,DE,CD00267
VL,DE,CD00268
L,DE,CD00269
VL,DE,CD00270
L,DE,CD00271
M,RE,CD00272
VL,RE,CD00273
SH,HA,CD00274
M,RE,CD00275
VL,RE,CD00276
M,HA,CD00277
H,DE,CD00278
SH,RE,CD00279
M,RE,CD00280
VL,RE,CD00281
M,HA,CD00282
L,RE,CD00283
M,RE,CD00284
H,DE,CD00285
VL,HA,CD00286
VL,RE,CD00287
M,HA,CD00288
H,DE,CD00289
M,RE,CD00290
SH,HA,CD00291
M,DE,CD00292
L,HA,CD00293
L,HA,CD00294
VL,HA,CD00295
H,RE,CD00296
H,HA,CD00297
H,HA,CD00298
M,HA,CD00299
VL,RE,CD00300
SH,HA,CD00301
SH,DE,CD00302
L,RE,CD00303
VL,RE,CD00304
M,DE,CD00305
L,HA,CD00306
VL,DE,CD00307
H,HA,CD00308
H,RE,CD00309
SH,HA,CD00310
H,HA,CD00311
M,DE,CD00312
H,HA,CD00313
L,DE,CD00314
SH,DE,CD00315
SH,DE,CD00316
L,DE,CD00317
M,RE,CD00318
M,RE,CD00319
M,HA,CD00320
VL,DE,CD00321
L,RE,CD00322
H,HA,CD00323
L,HA,CD00324
H,DE,CD00325
M,DE,CD00326
H,RE,CD00327
M,DE,CD00328
SH,RE,CD00329
M,RE,CD00330
SH,RE,CD00331
L,RE,CD00332
M,RE,CD00333
VL,DE,CD00334
M,RE,CD00335
H,DE,CD00336
L,DE,CD00337
H,HA,CD00338
H,DE,CD00339
L,RE,CD00340
SH,DE,CD00341
SH,DE,CD00342
SH,RE,CD00343
SH,RE,CD00344
