Power Outage (min),Power Downtime (min),Temperature (C),Current Load (kW),Usage Stats,region_stats,date
26236,15,37,11,17,West,2023-08-11 00:00:00
34200,37,22,22,13,East,2022-03-22 00:00:00
38071,34,25,22,15,North,2023-03-14 00:00:00
29199,88,22,22,11,East,2024-03-03 00:00:00
37628,46,26,11,16,North,2021-06-07 00:00:00
28440,105,29,11,17,South,2022-01-03 00:00:00
23687,5,24,11,11,West,2020-12-13 00:00:00
44448,111,44,22,22,West,2020-01-29 00:00:00
32595,94,31,11,16,North,2020-06-26 00:00:00
28832,23,20,11,21,West,2020-04-15 00:00:00
37004,28,36,22,13,South,2020-03-21 00:00:00
15614,120,24,11,12,East,2023-12-23 00:00:00
21859,71,34,11,19,East,2020-04-02 00:00:00
19993,12,35,11,19,South,2020-11-29 00:00:00
35070,34,19,22,11,South,2020-11-27 00:00:00
35907,52,15,22,20,South,2022-01-26 00:00:00
21491,88,35,11,16,West,2021-03-16 00:00:00
39724,14,21,11,16,East,2022-06-02 00:00:00
28711,16,41,11,21,North,2020-09-20 00:00:00
20576,15,25,22,13,West,2020-08-10 00:00:00
28575,56,44,11,15,West,2023-10-05 00:00:00
31211,28,19,11,20,North,2024-05-07 00:00:00
32756,32,28,11,18,South,2022-12-07 00:00:00
18058,76,31,11,14,South,2021-02-13 00:00:00
24215,29,23,22,17,South,2021-07-25 00:00:00
16769,15,24,11,20,South,2024-01-22 00:00:00
20868,34,33,22,11,North,2021-07-10 00:00:00
18735,27,27,11,16,South,2022-06-07 00:00:00
23469,102,36,11,22,South,2024-01-02 00:00:00
16625,110,27,22,17,West,2022-09-08 00:00:00
28642,76,34,22,11,East,2024-01-01 00:00:00
21410,11,44,22,12,North,2020-01-24 00:00:00
16210,14,44,22,19,North,2020-12-12 00:00:00
16496,100,41,22,14,South,2021-04-29 00:00:00
42999,85,26,22,22,East,2021-09-01 00:00:00
42604,59,42,11,13,East,2022-05-23 00:00:00
37627,23,35,22,22,South,2020-04-09 00:00:00
24670,52,24,22,15,South,2023-06-19 00:00:00
